Bottleneck_Rank,Area_ID,Intersection_ID,Observations,Avg_Traffic_Volume,Avg_Speed,Congestion_Score,Congestion_Score_P90,Most_Common_Congestion_Level,Pct_Severe_Bottleneck_Days,Pct_Any_Bottleneck_Days,Bottleneck_Index,Avg_Incident_Level,Pct_Accident_Days,Accident_Risk_Score,Accident_Risk_Level,Recommended_Cycle_Length_Sec,Recommended_Phase_1_Green_Sec,Recommended_Phase_2_Green_Sec,Most_Common_Decision_Priority
1,AN003,RIN04,684,41470.8,36.0,78.37,86.42,SEVERE,89.77,89.77,83.06,1.81,80.85,68.54,HIGH,89.2,44.7,36.5,HIGH
2,AN003,RIN05,680,40190.0,36.1,78.02,86.39,SEVERE,89.26,89.41,82.78,1.88,82.35,70.54,HIGH,88.6,44.3,36.3,HIGH
3,AN004,RN07,759,35251.8,37.4,75.27,84.42,SEVERE,90.38,90.38,81.04,1.81,80.63,68.45,HIGH,87.4,43.7,35.7,HIGH
4,AN004,RIN06,742,35350.1,37.7,74.99,84.64,SEVERE,89.89,89.89,80.87,1.92,82.21,71.28,HIGH,86.7,43.3,35.4,HIGH
5,AN001,RIN02,860,32611.9,38.9,72.51,83.65,SEVERE,88.95,89.77,79.14,1.75,79.07,66.63,HIGH,86.1,43.0,35.1,HIGH
6,AN001,RIN01,860,31956.9,38.4,71.98,83.64,SEVERE,88.6,89.42,78.8,1.8,79.77,67.91,HIGH,85.5,42.6,34.9,HIGH
7,AN006,RIN10,474,26794.9,40.3,68.08,82.16,SEVERE,73.42,82.7,73.37,1.53,73.21,59.88,HIGH,80.2,39.7,32.5,HIGH
8,AN006,RIN11,476,26272.6,40.0,67.69,82.2,SEVERE,72.27,83.4,72.96,1.6,72.06,60.82,HIGH,80.3,39.8,32.5,HIGH
9,AN005,RIN09,593,24704.1,39.4,66.84,81.77,SEVERE,66.78,76.39,71.31,1.52,74.7,60.28,HIGH,77.1,38.0,31.1,HIGH
10,AN005,RIN08,580,24496.2,40.1,66.39,81.31,SEVERE,66.38,74.48,70.86,1.45,68.1,56.24,HIGH,77.1,38.0,31.1,HIGH
11,AN002,RIN14,450,21866.0,42.0,61.88,80.09,HIGH,60.0,64.89,66.97,1.34,66.22,53.29,HIGH,72.0,35.2,28.8,HIGH
12,AN002,RIN03,492,20773.0,42.3,59.91,79.7,HIGH,52.85,58.54,64.44,1.22,63.21,49.68,MEDIUM,68.4,33.2,27.2,HIGH
13,AN007,RIN12,373,19277.1,43.0,57.7,78.65,HIGH,48.53,57.1,62.15,1.14,60.59,47.04,MEDIUM,65.6,31.7,25.9,HIGH
14,AN007,RIN13,361,18574.5,43.9,56.31,76.59,HIGH,40.17,50.14,59.17,1.02,55.12,42.45,MEDIUM,63.0,30.2,24.7,HIGH
15,AN008,RIN15,275,16134.5,43.3,52.06,71.74,HIGH,26.91,39.27,52.93,0.8,49.09,35.64,MEDIUM,55.0,25.9,21.2,MEDIUM
16,AN008,RIN16,277,16557.2,44.0,52.8,68.24,HIGH,29.24,42.24,52.72,0.76,50.18,35.27,MEDIUM,57.3,27.1,22.2,MEDIUM
