Area_ID,Intersection_ID,Traffic_Volume,Road_Capacity_Utilization_Pct,Estimated_Road_Capacity,Average_Speed,Travel_Time_Index,Congestion_Level,Incident_Level,Capacity_Utilization,Bottleneck_Status,Speed_Condition,Travel_Delay_Condition,Incident_Status,Accident_Flag,Peak_Traffic_Status,Congestion_Score,Calculated_Congestion_Level,Congestion_Reasons,Estimated_Lanes,Saturation_Flow,Number_of_Phases,Phase_1_Flow,Phase_2_Flow,Phase_1_Flow_Ratio,Phase_2_Flow_Ratio,Baseline_Cycle,Lost_Time,Available_Green_Time,Phase_1_Baseline_Green,Phase_2_Baseline_Green,Webster_Y,Webster_Status,Webster_Optimal_Cycle,Webster_Cycle_Capped,Webster_Optimal_Cycle_Practical,Webster_Available_Green,Webster_Phase_1_Green,Webster_Phase_2_Green,Cycle_Change_Seconds,Phase_1_Green_Change,Phase_2_Green_Change,Decision_Priority,Decision_Status
AN001,RIN01,50590,100.0,50590.0,50.23029856,1.5,100.0,0,1.0,SEVERE_BOTTLENECK,HIGH_SPEED,SEVERE_DELAY,NO_INCIDENT,NO,PEAK_TRAFFIC,76.59,SEVERE,"HIGH_CAPACITY_UTILIZATION, HIGH_TRAVEL_DELAY, PEAK_TRAFFIC_VOLUME",34,61200,2,27824.5,22765.5,0.4546,0.372,120,8,112,61.6,50.4,0.8266,VALID,98.04,False,98.04,90.04,49.52,40.52,-21.96,-12.08,-9.88,HIGH,WEBSTER_TIMING_AVAILABLE
AN001,RIN02,30825,100.0,30825.0,29.37712471,1.5,100.0,1,1.0,SEVERE_BOTTLENECK,VERY_LOW_SPEED,SEVERE_DELAY,LOW_INCIDENT,YES,NORMAL_TRAFFIC,79.2,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",21,37800,2,16953.75,13871.25,0.4485,0.367,120,8,112,61.6,50.4,0.8155,VALID,92.14,False,92.14,84.14,46.27,37.87,-27.86,-15.33,-12.53,HIGH,WEBSTER_TIMING_AVAILABLE
AN002,RIN03,7399,36.39652494,20328.863846747237,54.47439821,1.039068846,28.34799386,0,0.3639652493999999,NORMAL,HIGH_SPEED,LOW_DELAY,NO_INCIDENT,NO,NORMAL_TRAFFIC,25.12,MODERATE,NORMAL_TRAFFIC_CONDITION,14,25200,2,4069.45,3329.55,0.1615,0.1321,80,8,72,39.6,32.4,0.2936,VALID,24.07,False,24.07,16.07,8.84,7.23,-55.93,-30.76,-25.17,MEDIUM,WEBSTER_TIMING_AVAILABLE
AN003,RIN04,60874,100.0,60874.0,43.81761039,1.5,100.0,1,1.0,SEVERE_BOTTLENECK,NORMAL_SPEED,SEVERE_DELAY,LOW_INCIDENT,YES,PEAK_TRAFFIC,81.7,SEVERE,"HIGH_CAPACITY_UTILIZATION, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT, PEAK_TRAFFIC_VOLUME",41,73800,2,33480.7,27393.3,0.4537,0.3712,120,8,112,61.6,50.4,0.8249,VALID,97.09,False,97.09,89.09,49.0,40.09,-22.91,-12.6,-10.31,HIGH,WEBSTER_TIMING_AVAILABLE
AN003,RIN05,57292,100.0,57292.0,41.11676289,1.5,100.0,3,1.0,SEVERE_BOTTLENECK,NORMAL_SPEED,SEVERE_DELAY,HIGH_INCIDENT,YES,PEAK_TRAFFIC,83.69,SEVERE,"HIGH_CAPACITY_UTILIZATION, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT, PEAK_TRAFFIC_VOLUME",39,70200,2,31510.6,25781.4,0.4489,0.3673,120,8,112,61.6,50.4,0.8162,VALID,92.49,False,92.49,84.49,46.47,38.02,-27.51,-15.13,-12.38,HIGH,WEBSTER_TIMING_AVAILABLE
AN004,RIN06,47848,100.0,47848.0,34.24196255,1.5,100.0,3,1.0,SEVERE_BOTTLENECK,LOW_SPEED,SEVERE_DELAY,HIGH_INCIDENT,YES,PEAK_TRAFFIC,83.57,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT, PEAK_TRAFFIC_VOLUME",32,57600,2,26316.4,21531.6,0.4569,0.3738,120,8,112,61.6,50.4,0.8307,VALID,100.41,False,100.41,92.41,50.83,41.58,-19.59,-10.77,-8.82,HIGH,WEBSTER_TIMING_AVAILABLE
AN004,RN07,36574,100.0,36574.0,29.98242956,1.5,100.0,3,1.0,SEVERE_BOTTLENECK,VERY_LOW_SPEED,SEVERE_DELAY,HIGH_INCIDENT,YES,NORMAL_TRAFFIC,82.29,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",25,45000,2,20115.7,16458.3,0.447,0.3657,120,8,112,61.6,50.4,0.8127,VALID,90.76,False,90.76,82.76,45.52,37.24,-29.24,-16.08,-13.16,HIGH,WEBSTER_TIMING_AVAILABLE
AN005,RIN08,25379,100.0,25379.0,38.45517944,1.5,79.03882288,2,1.0,SEVERE_BOTTLENECK,LOW_SPEED,SEVERE_DELAY,MODERATE_INCIDENT,YES,NORMAL_TRAFFIC,76.39,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",17,30600,2,13958.45,11420.55,0.4562,0.3732,120,8,112,61.6,50.4,0.8294,VALID,99.65,False,99.65,91.65,50.41,41.24,-20.35,-11.19,-9.16,HIGH,WEBSTER_TIMING_AVAILABLE
AN005,RIN09,25022,100.0,25022.0,35.03937304,1.5,78.97959595,1,1.0,SEVERE_BOTTLENECK,LOW_SPEED,SEVERE_DELAY,LOW_INCIDENT,YES,NORMAL_TRAFFIC,76.29,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",17,30600,2,13762.1,11259.9,0.4497,0.368,120,8,112,61.6,50.4,0.8177,VALID,93.25,False,93.25,85.25,46.88,38.37,-26.75,-14.72,-12.03,HIGH,WEBSTER_TIMING_AVAILABLE
AN006,RIN10,31760,100.0,31760.0,56.90455626,1.5,97.67246207,1,1.0,SEVERE_BOTTLENECK,HIGH_SPEED,SEVERE_DELAY,LOW_INCIDENT,YES,NORMAL_TRAFFIC,71.51,HIGH,"HIGH_CAPACITY_UTILIZATION, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",22,39600,2,17468.0,14292.0,0.4411,0.3609,100,8,92,50.6,41.4,0.802,VALID,85.86,False,85.86,77.86,42.82,35.04,-14.14,-7.78,-6.36,HIGH,WEBSTER_TIMING_AVAILABLE
